order_id,order_date,ship_date,Category,sub_category,Region,Sales,Profit,Quantity
CA-2016-152156,2016-11-08,2016-11-11,Furniture,Bookcases,South,261.96,41.9136,2
CA-2016-152156,2016-11-08,2016-11-11,Furniture,Chairs,South,731.94,219.582,3
CA-2016-138688,2016-06-12,2016-06-16,Office Supplies,Labels,West,14.62,6.8714,2
US-2015-108966,2015-10-11,2015-10-18,Furniture,Tables,South,957.5775,-383.031,5
US-2015-108966,2015-10-11,2015-10-18,Office Supplies,Storage,South,22.368,2.5164,2
CA-2014-115812,2014-06-09,2014-06-14,Furniture,Furnishings,West,48.86,14.1694,7
CA-2014-115812,2014-06-09,2014-06-14,Office Supplies,Art,West,7.28,1.9656,4
CA-2014-115812,2014-06-09,2014-06-14,Technology,Phones,West,907.152,90.7152,6
CA-2014-115812,2014-06-09,2014-06-14,Office Supplies,Binders,West,18.504,5.7825,3
CA-2014-115812,2014-06-09,2014-06-14,Office Supplies,Appliances,West,114.9,34.47,5
CA-2014-115812,2014-06-09,2014-06-14,Furniture,Tables,West,1706.184,85.3092,9
CA-2014-115812,2014-06-09,2014-06-14,Technology,Phones,West,911.424,68.3568,4
CA-2017-114412,2017-04-15,2017-04-20,Office Supplies,Paper,South,15.552,5.4432,3
CA-2016-161389,2016-12-05,2016-12-10,Office Supplies,Binders,West,407.976,132.5922,3
US-2015-118983,2015-11-22,2015-11-26,Office Supplies,Appliances,Central,68.81,-123.858,5
US-2015-118983,2015-11-22,2015-11-26,Office Supplies,Binders,Central,2.544,-3.816,3
CA-2014-105893,2014-11-11,2014-11-18,Office Supplies,Storage,Central,665.88,13.3176,6
CA-2014-167164,2014-05-13,2014-05-15,Office Supplies,Storage,West,55.5,9.99,2
CA-2014-143336,2014-08-27,2014-09-01,Office Supplies,Art,West,8.56,2.4824,2
CA-2014-143336,2014-08-27,2014-09-01,Technology,Phones,West,213.48,16.011,3
CA-2014-143336,2014-08-27,2014-09-01,Office Supplies,Binders,West,22.72,7.384,4
CA-2016-137330,2016-12-09,2016-12-13,Office Supplies,Art,Central,19.46,5.0596,7
CA-2016-137330,2016-12-09,2016-12-13,Office Supplies,Appliances,Central,60.34,15.6884,7
US-2017-156909,2017-07-16,2017-07-18,Furniture,Chairs,East,71.372,-1.0196,2
CA-2015-106320,2015-09-25,2015-09-30,Furniture,Tables,West,1044.63,240.2649,3
CA-2016-121755,2016-01-16,2016-01-20,Office Supplies,Binders,West,11.648,4.2224,2
CA-2016-121755,2016-01-16,2016-01-20,Technology,Accessories,West,90.57,11.7741,3
US-2015-150630,2015-09-17,2015-09-21,Furniture,Bookcases,East,3083.43,-1665.0522,7
US-2015-150630,2015-09-17,2015-09-21,Office Supplies,Binders,East,9.618,-7.0532,2
US-2015-150630,2015-09-17,2015-09-21,Furniture,Furnishings,East,124.2,15.525,3
US-2015-150630,2015-09-17,2015-09-21,Office Supplies,Envelopes,East,3.264,1.1016,2
