ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-03-01,40824.70707819125,34750.277282541945,51844.63229604717,40824.70707819125,40824.70707819125,2327.078633132252,2327.078633132252,2327.078633132252,2327.078633132252,2327.078633132252,2327.078633132252,0.0,0.0,0.0,43151.7857113235
2014-04-01,41125.07684844361,18665.554535979285,36031.668554577605,41125.07684844361,41125.07684844361,-14135.957529022337,-14135.957529022337,-14135.957529022337,-14135.957529022337,-14135.957529022337,-14135.957529022337,0.0,0.0,0.0,26989.119319421276
2014-05-01,41415.75727782026,18184.290034864513,35607.264677767154,41415.75727782026,41415.75727782026,-14267.677999858235,-14267.677999858235,-14267.677999858235,-14267.677999858235,-14267.677999858235,-14267.677999858235,0.0,0.0,0.0,27148.079277962024
2014-06-01,41716.127054842786,19245.37281747702,37521.47689266346,41716.127054842786,41716.127054842786,-13482.64442420317,-13482.64442420317,-13482.64442420317,-13482.64442420317,-13482.64442420317,-13482.64442420317,0.0,0.0,0.0,28233.482630639613
2014-07-01,42006.807491861975,19292.174671015553,35889.95007146933,42006.807491861975,42006.807491861975,-14035.232790178461,-14035.232790178461,-14035.232790178461,-14035.232790178461,-14035.232790178461,-14035.232790178461,0.0,0.0,0.0,27971.574701683516
2014-08-01,42307.177282602905,22991.4091801712,40880.15948824642,42307.177282602905,42307.177282602905,-10041.611306752133,-10041.611306752133,-10041.611306752133,-10041.611306752133,-10041.611306752133,-10041.611306752133,0.0,0.0,0.0,32265.56597585077
2014-09-01,42607.54707334385,59998.847741613834,77620.73532333515,42607.54707334385,42607.54707334385,26234.84033064578,26234.84033064578,26234.84033064578,26234.84033064578,26234.84033064578,26234.84033064578,0.0,0.0,0.0,68842.38740398963
2014-10-01,42898.22751230479,27862.565654554168,45403.99317148087,42898.22751230479,42898.22751230479,-6051.370301578626,-6051.370301578626,-6051.370301578626,-6051.370301578626,-6051.370301578626,-6051.370301578626,0.0,0.0,0.0,36846.857210726164
2014-11-01,43198.597304739276,70120.38588483905,86663.9508051622,43198.597304739276,43198.597304739276,35376.40758969451,35376.40758969451,35376.40758969451,35376.40758969451,35376.40758969451,35376.40758969451,0.0,0.0,0.0,78575.00489443378
2014-12-01,43489.2777577211,61359.935727894706,78462.79031373435,43489.2777577211,43489.2777577211,26410.474669151383,26410.474669151383,26410.474669151383,26410.474669151383,26410.474669151383,26410.474669151383,0.0,0.0,0.0,69899.75242687248
